BOUTIQUE_CODE;CUSTOMER_CODE_XY;CUSTOMER_CODE_CRM;CUSTOMER_COUNTRY;SALESMAN_CODE;SOURCE;RECEIPT_CODE;TILL_SHORT_DESC;TRANSACTION_DATE;CURRENCY;POSITION;TRANSACTION_TYPE;PRODUCT_CODE;ID_NUMBER;QTY;UNIT_PRICE_LIST_VALUE;ROW_PAID_VALUE
90006761;714828FF-12C0-EE11-8103-000D3A2436CD;714828FF-12C0-EE11-8103-000D3A2436CD;ITA;RP_2558;RP;-8173390000000000000;1;20240131;AED;1;0;20011416;73694828;1;2060.00;2000.00
90006761;1611F7BD-E856-EA11-80E3-000D3A239D68;1611F7BD-E856-EA11-80E3-000D3A239D68;RUS;RP_2557;RP;5959180000000000000;1;20201215;AED;3;0;20011416;72993315;1;1690.00;1690.00
90006761;E3B4B5B2-2B63-ED11-80FA-000D3A2436CD;E3B4B5B2-2B63-ED11-80FA-000D3A2436CD;RUS;RP_16182;RP;8592370000000000000;1;20221112;AED;1;0;20011416;73042296;1;1890.00;1890.00
90006761;833CE5D4-1ADE-ED11-80FC-000D3A2436CD;833CE5D4-1ADE-ED11-80FC-000D3A2436CD;RUS;RP_12140;RP;9127120000000000000;1;20230401;AED;1;0;20011416;73694824;1;1890.00;1890.00
90006761;81415087-4447-EE11-80FF-000D3A2436CD;81415087-4447-EE11-80FF-000D3A2436CD;KAZ;RP_12140;RP;-8693240000000000000;1;20230915;AED;2;0;30012719;30012719;1;300.00;300.00
90006761;7CE7D4A4-73DD-E711-80D0-000D3A239D68;7CE7D4A4-73DD-E711-80D0-000D3A239D68;ARE;RP_2558;RP;1784230000000000000;1;20171206;AED;1;0;20048349;72775727;1;8440.00;7050.00
90006761;682805A8-550A-ED11-80F7-000D3A2436CD;682805A8-550A-ED11-80F7-000D3A2436CD;KOR;RP_12140;RP;8170210000000000000;1;20220722;AED;1;0;20035689;72911220;1;4830.00;4830.00
90006761;CBBBA8D4-5AFB-E711-80D1-000D3A239D68;CBBBA8D4-5AFB-E711-80D1-000D3A239D68;ARE;RP_2556;RP;1932720000000000000;1;20180115;AED;2;0;20045775;73115677;1;3790.00;0.00
90006761;450DE6B4-FEEC-EA11-80E5-000D3A2436CD;450DE6B4-FEEC-EA11-80E5-000D3A2436CD;KWT;RP_2557;RP;5560590000000000000;1;20200901;AED;1;0;20045775;73218291;1;3980.00;3500.00
90006761;608282C2-5AFB-E711-80D1-000D3A239D68;608282C2-5AFB-E711-80D1-000D3A239D68;RUS;RP_2559;RP;1928530000000000000;1;20180114;AED;1;0;20045775;73038080;1;3790.00;3790.00
90006761;54427FFA-4491-EB11-80EB-000D3A2436CD;54427FFA-4491-EB11-80EB-000D3A2436CD;UKR;RP_2558;RP;6355590000000000000;1;20210329;AED;1;0;20035570;73046396;1;3200.00;3000.00
90006761;4BFAC5F1-A977-E911-80DB-000D3A239D68;4BFAC5F1-A977-E911-80DB-000D3A239D68;ARE;RP_3206;RP;3772640000000000000;1;20190515;AED;1;0;20035570;73247075;1;3090.00;2908.00
90006761;233F354D-E381-E911-80DB-000D3A239D68;233F354D-E381-E911-80DB-000D3A239D68;ARE;RP_3206;RP;3821830000000000000;1;20190528;AED;1;0;20053426;73278724;1;4690.00;4500.00
90006761;E954E165-F812-ED11-80F7-000D3A2436CD;E954E165-F812-ED11-80F7-000D3A2436CD;RUS;RP_15975;RP;8211200000000000000;1;20220802;AED;2;0;20053426;73192066;1;4650.00;4650.00
90006761;743256E2-0712-EB11-80E6-000D3A2436CD;743256E2-0712-EB11-80E6-000D3A2436CD;ARE;RP_9558;RP;5736110000000000000;1;20201017;AED;2;0;20035713;73220784;1;4090.00;4090.00
90006761;F5513AA9-440B-E911-80D7-000D3A239D68;F5513AA9-440B-E911-80D7-000D3A239D68;KAZ;RP_2562;RP;3235640000000000000;1;20181225;AED;2;0;20035713;73042725;1;4390.00;4390.00
90006761;6267E208-99A6-E811-80D5-000D3A239D68;6267E208-99A6-E811-80D5-000D3A239D68;ITA;RP_2559;RP;2763650000000000000;1;20180822;AED;1;0;20035713;73028581;1;4390.00;4390.00
90006761;58F86F32-9EE9-E911-80DF-000D3A239D68;58F86F32-9EE9-E911-80DF-000D3A239D68;MKD;RP_2562;RP;4317460000000000000;1;20191007;AED;1;0;20035776;72822212;1;5290.00;5290.00
90006761;2020EA1A-F07C-EB11-80EA-000D3A2436CD;2020EA1A-F07C-EB11-80EA-000D3A2436CD;KAZ;RP_9558;RP;5654920000000000000;1;20200926;AED;1;0;20053416;73396375;1;3930.00;3537.00
90006761;D4F2F51D-F903-E811-80D1-000D3A239D68;D4F2F51D-F903-E811-80D1-000D3A239D68;CHN;RP_3206;RP;1977400000000000000;1;20180127;AED;1;0;20053416;72839954;1;3850.00;3850.00
90006761;6431F9E2-7200-EA11-80E0-000D3A239D68;6431F9E2-7200-EA11-80E0-000D3A239D68;UKR;RP_12140;RP;4425040000000000000;1;20191105;AED;1;0;20053416;73053374;1;3730.00;3730.00
90006761;F35FC370-54E4-EA11-80E5-000D3A2436CD;F35FC370-54E4-EA11-80E5-000D3A2436CD;RUS;RP_12140;RP;5498580000000000000;1;20200815;AED;1;0;20053416;73345506;1;3930.00;3536.50
90006761;722B3F2A-93D8-EF11-810B-000D3A2436CD;722B3F2A-93D8-EF11-810B-000D3A2436CD;RUS;RP_15974;RP;-6836370000000000000;1;20250119;AED;1;0;20048360;73933678;1;11470.00;10980.00
90006761;5B75E2CA-FD69-EB11-80E9-000D3A2436CD;5B75E2CA-FD69-EB11-80E9-000D3A2436CD;JPN;RP_12140;RP;6158900000000000000;1;20210207;AED;1;0;20045372;73058559;1;20190.00;20190.00
90006761;6813418F-545A-EC11-80F1-000D3A2436CD;6813418F-545A-EC11-80F1-000D3A2436CD;KOR;RP_12140;RP;7497730000000000000;1;20220127;AED;1;0;20045372;73552774;1;21720.00;21720.00
90006761;A006ADBC-536B-EA11-80E4-000D3A239D68;A006ADBC-536B-EA11-80E4-000D3A239D68;IND;RP_2561;RP;4933860000000000000;1;20200318;AED;1;0;20049355;73030834;1;6320.00;6000.00
90006761;A006ADBC-536B-EA11-80E4-000D3A239D68;A006ADBC-536B-EA11-80E4-000D3A239D68;IND;RP_2561;RP;5286180000000000000;1;20200620;AED;1;0;20049355;73030834;-1;5680.00;-6000.00
90006761;5F0B0426-6BD4-E911-80DF-000D3A239D68;5F0B0426-6BD4-E911-80DF-000D3A239D68;ITA;RP_2558;RP;4214970000000000000;1;20190910;AED;1;0;20059645;73026225;1;1790.00;1790.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;21;0;20059645;73853848;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;22;0;20059645;73853849;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;6;0;20059645;73853850;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;16;0;20059645;73853851;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;24;0;20059645;73853852;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;17;0;20059645;73853853;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;8;0;20059645;73853854;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;23;0;20059645;73853855;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;15;0;20059645;73853857;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;20;0;20059645;73853859;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;12;0;20059645;73853860;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;19;0;20059645;73853861;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;11;0;20059645;73853862;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;7;0;20059645;73853863;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;10;0;20059645;73853864;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;25;0;20059645;73853865;1;1980.00;0.00
