storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1644829200;RPB0502-TEST7565370000000000000;Sale;1;;Closed;XXXXX;73427146;Sale;73427146;AED;2827000;81088263;1;CarryOut;73427146;2281640;545359;0;CE847982-3A8E-EC11-80F3-000D3A2436CD;CE847982-3A8E-EC11-80F3-000D3A2436CD
B0502-TEST;1610355600;RPB0502-TEST6058950000000000000;Sale;1;;Closed;XXXXX;73423835;Sale;73423835;AED;893000;81088192;1;CarryOut;73423835;670000;223000;0;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD
B0502-TEST;1610355600;RPB0502-TEST6058920000000000000;Sale;1;;Closed;XXXXX;73423836;Sale;73423836;AED;1996000;81088194;1;CarryOut;73423836;1500000;496000;0;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD
B0502-TEST;1641805200;RPB0502-TEST7435010000000000000;Sale;1;;Closed;XXXXX;73464233;Sale;73464233;AED;2289000;20088845;1;CarryOut;73464233;1610000;679000;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1607763600;RPB0502-TEST5946690000000000000;Sale;2;;Closed;XXXXX;73427580;Sale;73427580;AED;1115000;81088402;1;CarryOut;73427580;1000000;115000;0;0F7544DE-2D3D-EB11-80E8-000D3A2436CD;0F7544DE-2D3D-EB11-80E8-000D3A2436CD
B0502-TEST;1607763600;RPB0502-TEST5946690000000000000;Sale;1;;Closed;XXXXX;73427877;Sale;73427877;AED;800000;81088415;1;CarryOut;73427877;750000;50000;0;0F7544DE-2D3D-EB11-80E8-000D3A2436CD;0F7544DE-2D3D-EB11-80E8-000D3A2436CD
B0502-TEST;1684314000;RPB0502-TEST-9145440000000000000;Sale;1;;Closed;XXXXX;73499982;Sale;73499982;AED;1022000;20089197;1;CarryOut;73499982;1022000;0;0;7A4C100D-E66A-E811-80D2-000D3A2436CD;7A4C100D-E66A-E811-80D2-000D3A2436CD
B0502-TEST;1645174800;RPB0502-TEST7580330000000000000;Sale;2;;Closed;XXXXX;73447033;Sale;73447033;AED;1198000;81088911;1;CarryOut;73447033;1198000;0;0;6B76A5BE-C564-EC11-80F1-000D3A2436CD;6B76A5BE-C564-EC11-80F1-000D3A2436CD
B0502-TEST;1677056400;RPB0502-TEST8975070000000000000;Sale;1;;Closed;XXXXX;73667764;Sale;73667764;AED;752000;20089283;1;CarryOut;73667764;752000;0;0;FAA58025-937D-EE11-810A-000D3A239D68;FAA58025-937D-EE11-810A-000D3A239D68
B0502-TEST;1644742800;RPB0502-TEST7560590000000000000;Sale;1;;Closed;XXXXX;73469002;Sale;73469002;AED;1019000;20089284;1;CarryOut;73469002;662350;356650;0;CE6763BD-A18C-EC11-80F9-000D3A239D68;CE6763BD-A18C-EC11-80F9-000D3A239D68
